City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Ternate,ID,79.52,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
538,Malabo,GQ,76.66,overcast clouds,3.75,8.78,Magno Suites
541,Camacha,PT,75.2,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
542,Tay Ninh,VN,79.38,broken clouds,11.3,106.1,Thanh Tuyền Hotel
544,Deyang,CN,82.0,overcast clouds,31.13,104.38,Milletholly Resort Hotel
547,Coahuayana,MX,77.0,broken clouds,18.73,-103.68,Hotel Los Arcos
548,Discovery Bay,US,84.99,haze,37.91,-121.6,Orwood Resort Inc
549,Nogales,MX,86.0,clear sky,31.31,-110.94,Siesta Motel
550,Filadelfia,US,87.01,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
551,Melfi,IT,81.0,clear sky,41.0,15.65,HOTEL TERME DI RAPOLLA
553,Jingdezhen,CN,76.53,scattered clouds,29.29,117.21,Garden Hotel
554,Stadskanaal,NL,72.0,overcast clouds,52.98,6.95,City Hotel Stadskanaal
555,Karratha,AU,71.01,clear sky,-20.74,116.85,ibis Styles Karratha
556,Saint-Francois,FR,77.0,light rain,46.42,3.91,Manoir Du Bonheur
561,Worland,US,82.0,clear sky,44.02,-107.96,Town House Motor Inn
562,Umm Lajj,SA,86.13,clear sky,25.02,37.27,Moon light Furnished Units
563,Cuca,RO,75.6,clear sky,45.73,27.88,
564,Mumford,GH,74.64,clear sky,5.26,-0.76,Spanish Villa
565,Peniche,PT,75.0,broken clouds,39.36,-9.38,Hotel Star inn Peniche
567,Khani,GE,71.6,overcast clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
568,La Primavera,CO,75.34,light rain,5.49,-70.41,La Riviera Hotel Colonial
570,Macara,EC,88.81,overcast clouds,-4.38,-79.95,Hostal Macará
573,Trofors,NO,71.6,scattered clouds,65.53,13.41,Hause for Marcus and Martinus
578,Tirumullaivasal,IN,81.86,light rain,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
579,Benavente,ES,79.0,overcast clouds,42.0,-5.68,Parador de Benavente
580,Mayo,US,84.99,few clouds,38.89,-76.51,Resorts Resource Group International
584,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
585,Dawlatabad,AF,70.54,clear sky,36.41,64.91,WASIM ASGAR KHAN
586,Thunder Bay,CA,73.4,few clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
587,Hamilton,US,86.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
588,Sorrento,IT,82.0,clear sky,40.63,14.37,Hilton Sorrento Palace
589,Hobyo,SO,76.46,clear sky,5.35,48.53,Osmani Hotel
592,Urcos,PE,71.6,few clouds,-13.69,-71.62,Qali Samanawasi
594,Kigorobya,UG,70.0,light rain,1.62,31.31,Palace guest house kigorobya
595,Katobu,ID,72.61,clear sky,-4.94,122.53,La Ode Husein
596,Upata,VE,83.43,scattered clouds,8.01,-62.4,Posada Villa Nela
598,Samarai,PG,76.73,overcast clouds,-10.62,150.67,Nuli Sapi
599,Lucapa,AO,74.5,broken clouds,-8.42,20.74,Residência Ulisses Dos Santos
600,Pierre,US,86.0,clear sky,44.37,-100.35,Ramkota Hotel
601,Itarema,BR,83.41,few clouds,-2.92,-39.92,Windvillage
602,Norden,DE,73.4,scattered clouds,53.6,7.2,Hotel Aquarius
604,Casper,US,86.0,clear sky,42.87,-106.31,Ramkota Hotel
606,Albuquerque,US,90.0,haze,35.08,-106.65,DoubleTree by Hilton Hotel Albuquerque
611,Praia,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
613,Sembakung,ID,74.37,clear sky,3.82,117.25,
614,Anito,PH,78.84,overcast clouds,12.45,125.29,The Yellow House
615,Korla,CN,84.0,clear sky,41.76,86.15,Gulisitan Hotel
616,Tan An,VN,80.6,scattered clouds,10.53,106.42,Mỹ Đình
618,Nador,MA,87.8,clear sky,35.17,-2.93,Hôtel La Giralda
620,Ushibuka,JP,82.35,light rain,32.19,130.02,Hotei
622,Sur,OM,84.87,overcast clouds,22.57,59.53,Sur Plaza Hotel
623,Marabba,SD,83.71,overcast clouds,12.35,32.18,
625,Menomonie,US,82.0,clear sky,44.88,-91.92,Best Western Plus Menomonie Inn & Suites
629,Dymer,UA,72.0,clear sky,50.79,30.3,Гостевой Дом у озера
634,Varzob,TJ,71.6,clear sky,38.77,68.82,Мавқеъи пӯшида «Шамси Сохиб»
